organism,drug_code,drug_name,drug_class,omega,period,AIC,month,seasonal_deviate,sem
E. coli,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,490140.2205801627,11,-0.015764433249347683,0.015446097867684758
E. coli,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,490140.2205801627,12,-0.016470281441174163,0.015473744936924841
E. coli,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,199845.53801132465,1,0.0047362907824369995,0.007157323233798452
E. coli,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,199845.53801132465,2,-0.0042874437512495315,0.007453608444837372
E. coli,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,199845.53801132465,3,0.0024177518385057302,0.007065396383707302
E. coli,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,199845.53801132465,4,-0.008933162030763836,0.006985164759159139
E. coli,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,199845.53801132465,5,0.02014503342351385,0.007271056802218823
E. coli,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,199845.53801132465,6,-0.005655835937715043,0.00690701024720522
E. coli,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,199845.53801132465,7,-0.017937509561871214,0.006612083281131931
E. coli,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,199845.53801132465,8,-0.017581059516891907,0.006436392187105952
E. coli,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,199845.53801132465,9,-0.02222959331081038,0.006484436764529009
E. coli,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,199845.53801132465,10,-0.004649969487901911,0.006732979695386018
E. coli,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,199845.53801132465,11,0.017255422359676822,0.007184605720079868
E. coli,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,199845.53801132465,12,0.04178496761638893,0.007177791681393635
E. coli,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,199824.5513925181,1,0.03285858112946698,0.007157271990909579
E. coli,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,199824.5513925181,2,0.01844453690130893,0.007453508400778216
E. coli,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,199824.5513925181,3,0.019862728063952697,0.007065482832242436
