organism,drug_code,drug_name,drug_class,period,omega,AIC,month,seasonal_deviate,sem
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,6,1.0471975511965976,25343.677599364466,1,0.0011969943633261,0.04491038996000874
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,6,1.0471975511965976,25343.677599364466,2,-0.036968407832203655,0.04681043823404564
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,6,1.0471975511965976,25343.677599364466,3,-0.035707869344885984,0.0437807070711531
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,6,1.0471975511965976,25343.677599364466,4,0.04627261612308897,0.04966232564002761
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,6,1.0471975511965976,25343.677599364466,5,0.02720132674356065,0.04462744964112784
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,6,1.0471975511965976,25343.677599364466,6,0.0034121401906407047,0.04072495414968836
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,6,1.0471975511965976,25343.677599364466,7,-0.014935126889267734,0.037465937591215054
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,6,1.0471975511965976,25343.677599364466,8,-0.0451919040461137,0.03432627738934311
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,6,1.0471975511965976,25343.677599364466,9,0.03245282578696857,0.03980511584662096
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,6,1.0471975511965976,25343.677599364466,10,0.015757181775372414,0.04097376347340252
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,6,1.0471975511965976,25343.677599364466,11,-0.033772705603279204,0.03995476772580467
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,6,1.0471975511965976,25343.677599364466,12,0.04103787340572257,0.04332807520851369
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,25344.620527242692,1,0.030226398857127423,0.044911570478543654
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,25344.620527242692,2,-0.013064220814272344,0.04680880821791233
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,25344.620527242692,3,-0.01704364572069723,0.04377998993623109
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,25344.620527242692,4,0.05960540403675236,0.0496622133942648
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,25344.620527242692,5,0.0352914961773029,0.044627238388698656
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,25344.620527242692,6,0.00629563371908357,0.040725208217961335
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,25344.620527242692,7,-0.017246773610028993,0.03746689310320438
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,25344.620527242692,8,-0.05281022963046259,0.03432639124901278
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,25344.620527242692,9,0.019615610179415283,0.03980268489985234
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,25344.620527242692,10,-0.0025478507008649515,0.040973891364369755
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,25344.620527242692,11,-0.05723558483775529,0.03995383242164262
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,25344.620527242692,12,0.012640588878430562,0.043331105875361174
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,6,1.0471975511965976,19521.26634769928,1,0.08743723874901377,0.049086568166729724
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,6,1.0471975511965976,19521.26634769928,2,-0.07038206839776776,0.04757152384910068
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,6,1.0471975511965976,19521.26634769928,3,-0.06723428665438831,0.04790856802263825
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,6,1.0471975511965976,19521.26634769928,4,0.05673494570496059,0.05536343958203504
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,6,1.0471975511965976,19521.26634769928,5,-0.06727492773507425,0.048958371269084776
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,6,1.0471975511965976,19521.26634769928,6,0.06312311641698677,0.04639203922209584
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,6,1.0471975511965976,19521.26634769928,7,-0.03528890313393476,0.047308649589707624
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,6,1.0471975511965976,19521.26634769928,8,-0.06724728243290523,0.04173544229397724
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,6,1.0471975511965976,19521.26634769928,9,0.07565990168405363,0.044536539980749364
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,6,1.0471975511965976,19521.26634769928,10,-0.04546809981843248,0.04668743747631179
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,6,1.0471975511965976,19521.26634769928,11,0.05583931261969271,0.04645658012243998
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,6,1.0471975511965976,19521.26634769928,12,0.01638705464050695,0.04623774479308445
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,19521.75001699908,1,0.07892091802248352,0.049103547891229164
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,19521.75001699908,2,-0.07765035186379718,0.04756080460844665
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,19521.75001699908,3,-0.07359305028165287,0.04790866721720608
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,19521.75001699908,4,0.05152170527132935,0.055366383759290656
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,19521.75001699908,5,-0.07146735979853709,0.0489749865551196
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,19521.75001699908,6,0.06000431496015643,0.04637175183056664
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,19521.75001699908,7,-0.03418177321191688,0.04730895360529413
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,19521.75001699908,8,-0.06398546390751919,0.04173362154145144
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,19521.75001699908,9,0.08087531761870612,0.04453377345071761
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,19521.75001699908,10,-0.03830417548375497,0.04669088016934514
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,19521.75001699908,11,0.06478774381535793,0.04646194094630885
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,19521.75001699908,12,0.027076061030382688,0.0462327920275741
K. pneumoniae,TET,Tetracycline,Tetracyclines,6,1.0471975511965976,25304.048499068856,1,0.010887616315209797,0.06550065373375166
K. pneumoniae,TET,Tetracycline,Tetracyclines,6,1.0471975511965976,25304.048499068856,2,0.022143422605758918,0.07543698990521364
K. pneumoniae,TET,Tetracycline,Tetracyclines,6,1.0471975511965976,25304.048499068856,3,-0.06589393421969784,0.06703300000591522
K. pneumoniae,TET,Tetracycline,Tetracyclines,6,1.0471975511965976,25304.048499068856,4,0.05260994043586502,0.07332594255722794
K. pneumoniae,TET,Tetracycline,Tetracyclines,6,1.0471975511965976,25304.048499068856,5,-0.08902054186144573,0.06312958857870625
K. pneumoniae,TET,Tetracycline,Tetracyclines,6,1.0471975511965976,25304.048499068856,6,0.1029611449444415,0.06546574254009888
K. pneumoniae,TET,Tetracycline,Tetracyclines,6,1.0471975511965976,25304.048499068856,7,-0.010015211488903568,0.06030949708967923
K. pneumoniae,TET,Tetracycline,Tetracyclines,6,1.0471975511965976,25304.048499068856,8,0.07327661646197553,0.05816586010219925
K. pneumoniae,TET,Tetracycline,Tetracyclines,6,1.0471975511965976,25304.048499068856,9,0.02612858212222258,0.06009002907499508
K. pneumoniae,TET,Tetracycline,Tetracyclines,6,1.0471975511965976,25304.048499068856,10,0.020576445295039086,0.0626920989017038
K. pneumoniae,TET,Tetracycline,Tetracyclines,6,1.0471975511965976,25304.048499068856,11,-0.12681045508873268,0.06221960953264879
K. pneumoniae,TET,Tetracycline,Tetracyclines,6,1.0471975511965976,25304.048499068856,12,-0.03321117333372786,0.06620178856239078
K. pneumoniae,TET,Tetracycline,Tetracyclines,12,0.5235987755982988,25302.67070776197,1,-0.0490608283178105,0.06549487243795736
K. pneumoniae,TET,Tetracycline,Tetracyclines,12,0.5235987755982988,25302.67070776197,2,-0.026851376420138292,0.0754447897269886
K. pneumoniae,TET,Tetracycline,Tetracyclines,12,0.5235987755982988,25302.67070776197,3,-0.10348699493344855,0.06703325575926931
K. pneumoniae,TET,Tetracycline,Tetracyclines,12,0.5235987755982988,25302.67070776197,4,0.02642211911938947,0.0733294016155664
K. pneumoniae,TET,Tetracycline,Tetracyclines,12,0.5235987755982988,25302.67070776197,5,-0.1020060465644542,0.06313519284497453
K. pneumoniae,TET,Tetracycline,Tetracyclines,12,0.5235987755982988,25302.67070776197,6,0.10083881934477032,0.06547725939861863
K. pneumoniae,TET,Tetracycline,Tetracyclines,12,0.5235987755982988,25302.67070776197,7,-0.0015057810513249166,0.060301932437843445
K. pneumoniae,TET,Tetracycline,Tetracyclines,12,0.5235987755982988,25302.67070776197,8,0.09246902186377129,0.05816530001013947
K. pneumoniae,TET,Tetracycline,Tetracyclines,12,0.5235987755982988,25302.67070776197,9,0.05614687948639828,0.060092840932464246
K. pneumoniae,TET,Tetracycline,Tetracyclines,12,0.5235987755982988,25302.67070776197,10,0.06151263589004642,0.06269266519122958
K. pneumoniae,TET,Tetracycline,Tetracyclines,12,0.5235987755982988,25302.67070776197,11,-0.07522575463738512,0.06222093343606524
K. pneumoniae,TET,Tetracycline,Tetracyclines,12,0.5235987755982988,25302.67070776197,12,0.028952313868222876,0.06618570512164174
S. aureus,CIP,Ciprofloxacin,Quinolones,6,1.0471975511965976,82907.17516116759,1,0.01787435380944832,0.03980023357345149
S. aureus,CIP,Ciprofloxacin,Quinolones,6,1.0471975511965976,82907.17516116759,2,-0.00676699929932095,0.04067986856989064
S. aureus,CIP,Ciprofloxacin,Quinolones,6,1.0471975511965976,82907.17516116759,3,0.05841396544302755,0.03908749415049538
S. aureus,CIP,Ciprofloxacin,Quinolones,6,1.0471975511965976,82907.17516116759,4,-0.02754871063519354,0.03906554817532629
S. aureus,CIP,Ciprofloxacin,Quinolones,6,1.0471975511965976,82907.17516116759,5,-0.020316266231057638,0.037348891806136486
S. aureus,CIP,Ciprofloxacin,Quinolones,6,1.0471975511965976,82907.17516116759,6,-0.01271361481324479,0.03616886764345295
S. aureus,CIP,Ciprofloxacin,Quinolones,6,1.0471975511965976,82907.17516116759,7,0.007908936153373772,0.03446880817144367
S. aureus,CIP,Ciprofloxacin,Quinolones,6,1.0471975511965976,82907.17516116759,8,-0.037414474232930345,0.032800186318104996
S. aureus,CIP,Ciprofloxacin,Quinolones,6,1.0471975511965976,82907.17516116759,9,-0.034217602170930755,0.034161556959148055
S. aureus,CIP,Ciprofloxacin,Quinolones,6,1.0471975511965976,82907.17516116759,10,-0.02982784439659741,0.03471743877429809
S. aureus,CIP,Ciprofloxacin,Quinolones,6,1.0471975511965976,82907.17516116759,11,0.03977415822074418,0.03739699548524326
S. aureus,CIP,Ciprofloxacin,Quinolones,6,1.0471975511965976,82907.17516116759,12,0.06085463783174628,0.03821229184425136
S. aureus,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,82903.13317953203,1,0.04921770942451787,0.0397999614879065
S. aureus,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,82903.13317953203,2,0.018591275791267722,0.04067891770224066
S. aureus,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,82903.13317953203,3,0.0777727477797136,0.039087649659438777
