drug_class,omega,period,AIC,month,seasonal_deviate,sem
Nitrofurans,1.0471975511965976,6,-201.01435922770548,3,0.013752934418712382,0.012045288956411854
Nitrofurans,1.0471975511965976,6,-201.01435922770548,4,-0.0219588964091021,0.0169648849530866
Nitrofurans,1.0471975511965976,6,-201.01435922770548,5,-0.020480980120530224,0.01466177365695332
Nitrofurans,1.0471975511965976,6,-201.01435922770548,6,-5.122608276374674e-4,0.008672772022469698
Nitrofurans,1.0471975511965976,6,-201.01435922770548,7,0.03784467118964151,0.021756309956166866
Nitrofurans,1.0471975511965976,6,-201.01435922770548,8,0.028625776666105874,0.012048494212188256
Nitrofurans,1.0471975511965976,6,-201.01435922770548,9,0.0023016402811675716,0.010728236804258728
Nitrofurans,1.0471975511965976,6,-201.01435922770548,10,0.02441238569822167,0.007517675709534971
Nitrofurans,1.0471975511965976,6,-201.01435922770548,11,-0.02496196889634543,0.012644126652592654
Nitrofurans,1.0471975511965976,6,-201.01435922770548,12,-0.05221641951388445,0.017655101506322355
Nitrofurans,0.5235987755982988,12,-213.13850987274742,1,-0.029682090373073067,0.013410694652432565
Nitrofurans,0.5235987755982988,12,-213.13850987274742,2,-0.04753533978166422,0.006695583609223156
Nitrofurans,0.5235987755982988,12,-213.13850987274742,3,-0.016719029296908362,0.011346878410845683
Nitrofurans,0.5235987755982988,12,-213.13850987274742,4,-0.04332089847372049,0.017032336944948934
Nitrofurans,0.5235987755982988,12,-213.13850987274742,5,-0.032733020534146284,0.014205592439466029
Nitrofurans,0.5235987755982988,12,-213.13850987274742,6,-0.0036543395902511764,0.009618269611082971
Nitrofurans,0.5235987755982988,12,-213.13850987274742,7,0.043812554078030176,0.022136621945778635
Nitrofurans,0.5235987755982988,12,-213.13850987274742,8,0.04370362120549688,0.01100896152075494
Nitrofurans,0.5235987755982988,12,-213.13850987274742,9,0.026489446471560908,0.011421867753821115
Nitrofurans,0.5235987755982988,12,-213.13850987274742,10,0.054119271272463895,0.007517676630772224
Nitrofurans,0.5235987755982988,12,-213.13850987274742,11,0.01323259827169608,0.012644124275422487
Nitrofurans,0.5235987755982988,12,-213.13850987274742,12,-0.005534170752043627,0.017655101792710952
Penicillins,1.0471975511965976,6,128.65745338127857,1,0.005292898782336408,0.12835188565588204
Penicillins,1.0471975511965976,6,128.65745338127857,2,-0.00394728772028623,0.2957139441184506
Penicillins,1.0471975511965976,6,128.65745338127857,3,0.43690093206712194,0.10621196935161205
Penicillins,1.0471975511965976,6,128.65745338127857,4,0.32195993522401345,0.1744917420517264
Penicillins,1.0471975511965976,6,128.65745338127857,5,-0.1544958826966237,0.06826313757596539
Penicillins,1.0471975511965976,6,128.65745338127857,6,-0.34339596774591036,0.10697003216050863
Penicillins,1.0471975511965976,6,128.65745338127857,7,-0.8506163054710256,0.1804355461901002
Penicillins,1.0471975511965976,6,128.65745338127857,8,-0.7455077326918299,0.09715496353776626
Penicillins,1.0471975511965976,6,128.65745338127857,9,-0.5440620933908693,0.1621037311084527
Penicillins,1.0471975511965976,6,128.65745338127857,10,0.10440597411488284,0.016977668754005585
Penicillins,1.0471975511965976,6,128.65745338127857,11,0.6664424622649538,0.1455325042714029
Penicillins,1.0471975511965976,6,128.65745338127857,12,1.384457366704956,0.09356961459694171
Penicillins,0.5235987755982988,12,42.039816284418535,1,1.0598842098864552,0.12914456077396855
Penicillins,0.5235987755982988,12,42.039816284418535,2,0.8455896107369949,0.24789887675521036
Penicillins,0.5235987755982988,12,42.039816284418535,3,1.0813834178775648,0.10723580420947429
Penicillins,0.5235987755982988,12,42.039816284418535,4,0.7613880083876184,0.17620565017175113
Penicillins,0.5235987755982988,12,42.039816284418535,5,0.07987777782014316,0.06525317021955794
Penicillins,0.5235987755982988,12,42.039816284418535,6,-0.3140767198759814,0.06367867432216542
Penicillins,0.5235987755982988,12,42.039816284418535,7,-1.0263514702479346,0.14312390401827682
Penicillins,0.5235987755982988,12,42.039816284418535,8,-1.1262973101155769,0.06509824794008603
Penicillins,0.5235987755982988,12,42.039816284418535,9,-1.129906083461454,0.07303859158214965
Penicillins,0.5235987755982988,12,42.039816284418535,10,-0.5073667949667753,0.016977682328377087
Penicillins,0.5235987755982988,12,42.039816284418535,11,-0.12012252658828992,0.14553251057329364
Penicillins,0.5235987755982988,12,42.039816284418535,12,0.423100158080127,0.09356958874990062
Quinolones,1.0471975511965976,6,-89.4929272762338,1,0.046935938932995434,0.021812383248314686
Quinolones,1.0471975511965976,6,-89.4929272762338,2,-0.027326173916601304,0.043988746569631185
Quinolones,1.0471975511965976,6,-89.4929272762338,3,-0.023102385709902595,0.038052324995216255
Quinolones,1.0471975511965976,6,-89.4929272762338,4,-0.047988030373689705,0.044884328347281906
Quinolones,1.0471975511965976,6,-89.4929272762338,5,-0.043556856876412954,0.03216496432499504
Quinolones,1.0471975511965976,6,-89.4929272762338,6,0.08890463834254718,0.0078108226173740575
Quinolones,1.0471975511965976,6,-89.4929272762338,7,0.1271007352292924,0.05921549124793494
Quinolones,1.0471975511965976,6,-89.4929272762338,8,0.1164874138732546,0.03585290335898367
Quinolones,1.0471975511965976,6,-89.4929272762338,9,-0.09994161415231244,0.04414834861370864
Quinolones,1.0471975511965976,6,-89.4929272762338,10,-0.04741348855368982,0.02920459792770068
Quinolones,1.0471975511965976,6,-89.4929272762338,11,-0.08974208452672278,0.03764552870778349
Quinolones,1.0471975511965976,6,-89.4929272762338,12,-0.01419330485404624,0.0253086607690813
Quinolones,0.5235987755982988,12,-79.55221897103625,1,-0.020708609656209465,0.020626173547771392
Quinolones,0.5235987755982988,12,-79.55221897103625,2,-0.08168000765270107,0.04663846690299709
Quinolones,0.5235987755982988,12,-79.55221897103625,3,-0.06416550459289697,0.03640334197136527
Quinolones,0.5235987755982988,12,-79.55221897103625,4,-0.0757604344035789,0.04462520075655073
Quinolones,0.5235987755982988,12,-79.55221897103625,5,-0.058038546053196916,0.03153491232469881
Quinolones,0.5235987755982988,12,-79.55221897103625,6,0.08771366401886835,0.004220126289104354
Quinolones,0.5235987755982988,12,-79.55221897103625,7,0.13920047575871886,0.05725373267071339
Quinolones,0.5235987755982988,12,-79.55221897103625,8,0.14187786925578633,0.03487992227143827
Quinolones,0.5235987755982988,12,-79.55221897103625,9,-0.06126044391667547,0.046127324400759666
Quinolones,0.5235987755982988,12,-79.55221897103625,10,-0.009274083029880864,0.02920459863527455
Quinolones,0.5235987755982988,12,-79.55221897103625,11,-0.04070570599349238,0.037645529004151815
Quinolones,0.5235987755982988,12,-79.55221897103625,12,0.045740046688605596,0.02530865816380461
Tetracyclines,1.0471975511965976,6,-155.10877256873454,1,-0.01508953440678713,0.010628108000438532
Tetracyclines,1.0471975511965976,6,-155.10877256873454,2,-0.04808958204028228,0.02833989389334975
Tetracyclines,1.0471975511965976,6,-155.10877256873454,3,-0.021773501955113517,0.013478318325132145
Tetracyclines,1.0471975511965976,6,-155.10877256873454,4,0.012028552083163491,0.013916948462537576
Tetracyclines,1.0471975511965976,6,-155.10877256873454,5,0.01696784414961665,0.01281928030666899
Tetracyclines,1.0471975511965976,6,-155.10877256873454,6,0.04743633597918615,0.024901985025366512
Tetracyclines,1.0471975511965976,6,-155.10877256873454,7,0.015560700089708734,0.029536827429391146
Tetracyclines,1.0471975511965976,6,-155.10877256873454,8,0.033000776921206086,0.015403125274255967
Tetracyclines,1.0471975511965976,6,-155.10877256873454,9,-0.047330079316241204,0.02525560393518527
