organism,drug_code,drug_name,drug_class,omega,period,AIC,month,seasonal_deviate,sem
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,64181.48090955714,3,0.0084976271942738,0.02669402215383708
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,64181.48090955714,4,0.04278302733339472,0.027876304759159008
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,64181.48090955714,5,0.015233190295084967,0.026030394038546793
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,64181.48090955714,6,-0.0056126743046301785,0.0237239388895315
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,64181.48090955714,7,0.01375802152826362,0.02301222463375607
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,64181.48090955714,8,0.0024949244002391005,0.021456207983697316
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,64181.48090955714,9,0.004637806043176156,0.022061401964012486
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,64181.48090955714,10,-0.04413720545516335,0.022281514048088553
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,64181.48090955714,11,0.023146005225425825,0.025072377735115847
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,64181.48090955714,12,0.04000295685856294,0.02535699999012467
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,64178.16496426742,1,0.017852945834512753,0.026456448532497488
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,64178.16496426742,2,0.03989607067307836,0.029665123783308232
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,64178.16496426742,3,0.027206011946825127,0.02669371204560577
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,64178.16496426742,4,0.05586628074395791,0.02787668151801471
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,64178.16496426742,5,0.022533985926023802,0.026029842721037325
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,64178.16496426742,6,-0.003911366335063971,0.023724239846482833
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,64178.16496426742,7,0.009849421596901666,0.023011579707754175
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,64178.16496426742,8,-0.007019896215296641,0.021456100213878438
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,64178.16496426742,9,-0.010494292344615689,0.02206125275150251
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,64178.16496426742,10,-0.06490224727017853,0.02228148791393379
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,64178.16496426742,11,-0.003169520551242579,0.025072560287434816
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,64178.16496426742,12,0.008055109003537257,0.02535647042217696
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,88848.15173877761,1,0.009260441357819777,0.028669495369455542
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,88848.15173877761,2,-3.405477691230524e-4,0.0315227853458823
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,88848.15173877761,3,0.03390179485133819,0.02970153831012542
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,88848.15173877761,4,0.07315386897205386,0.030481998813662103
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,88848.15173877761,5,-0.016607315342444817,0.027152289230777452
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,88848.15173877761,6,-0.006222057259321541,0.024958437428563934
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,88848.15173877761,7,-0.03003533976628208,0.023912445566947604
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,88848.15173877761,8,-0.03178389070852525,0.022361187577105653
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,88848.15173877761,9,0.008015159099961875,0.02329842107891951
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,88848.15173877761,10,0.007364658842186515,0.024232102839557238
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,88848.15173877761,11,0.03356863131647533,0.026118166533205932
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,88848.15173877761,12,0.07128269910035613,0.026700955911765422
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,88839.97187095042,1,0.05132515419816121,0.028668714281349716
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,88839.97187095042,2,0.0337199981285343,0.03152139615803836
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,88839.97187095042,3,0.05992426697374225,0.029702670506243797
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,88839.97187095042,4,0.09116330980997432,0.030482096483133284
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,88839.97187095042,5,-0.006591956490411169,0.027152198532560397
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,88839.97187095042,6,-0.004199811874539872,0.02495825949743922
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,88839.97187095042,7,-0.03597989351916691,0.023912093752855208
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,88839.97187095042,8,-0.045653836394420035,0.022361590871855696
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,88839.97187095042,9,-0.013813102960339756,0.023297799342822785
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,88839.97187095042,10,-0.02252287259721815,0.02423156355270025
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,88839.97187095042,11,-0.004119445007063089,0.02611837025027026
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,88839.97187095042,12,0.025746376005971357,0.026700277461833424
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,66793.63211529159,1,0.04953716169464433,0.029868149158959696
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,66793.63211529159,2,0.02414049604730992,0.03202814048940478
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,66793.63211529159,3,-0.037616797709523725,0.03008706458654263
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,66793.63211529159,4,0.010972449361688246,0.032001455565401765
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,66793.63211529159,5,-0.03550992361748278,0.028756152471321097
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,66793.63211529159,6,0.012201963801207775,0.027075270370817476
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,66793.63211529159,7,-0.04342385426045671,0.028174131879556433
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,66793.63211529159,8,-0.03989581924191291,0.02620513751678113
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,66793.63211529159,9,0.03931434314872359,0.025863742469461073
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,66793.63211529159,10,-0.02772871370883843,0.027361533258331953
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,66793.63211529159,11,0.06779275434192791,0.02832344080193435
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,66793.63211529159,12,0.01630691730810504,0.027837732121242305
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,66787.11683854624,1,0.04179291461231036,0.029868650736927727
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,66787.11683854624,2,0.016827309643489125,0.03202383309827606
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,66787.11683854624,3,-0.04401487072761533,0.030089501004776566
