drug_class,i,j,x,y,scale,amplitude,power,p.value,coi_raw,coi,sig
Quinolones,7,51,7,3.5,10.803795793885275,0.25420614767968663,0.06462076551814665,0.37,3.151496129472319,3.151496129472319,0
Quinolones,7,52,7,3.5500000000000003,11.184790829754435,0.25402676642044153,0.06452959805802556,0.34,3.151496129472319,3.151496129472319,0
Quinolones,7,53,7,3.6,11.579221626547461,0.24746860223145314,0.06124070909038918,0.32,3.151496129472319,3.151496129472319,0
Quinolones,7,54,7,3.6500000000000004,11.98756199535009,0.23480298224737406,0.05513244047226066,0.3,3.151496129472319,3.151496129472319,0
Quinolones,7,55,7,3.7,12.4103024561599,0.21663944450238368,0.046932648914301385,0.36,3.151496129472319,3.151496129472319,0
Quinolones,7,56,7,3.75,12.847950827124839,0.19395924895924677,0.03762019025683507,0.45,3.151496129472319,3.151496129472319,0
Quinolones,7,57,7,3.8000000000000003,13.301032834561163,0.16822087663852203,0.02829826333703285,0.52,3.151496129472319,3.151496129472319,0
Quinolones,7,58,7,3.85,13.770092744483621,0.141588432342744,0.020047284173275788,0.58,3.151496129472319,3.151496129472319,0
Quinolones,7,59,7,3.9000000000000004,14.255694016406544,0.11734970780722324,0.01377095392244067,0.69,3.151496129472319,3.151496129472319,0
Quinolones,7,60,7,3.95,14.7584199802011,0.10029818914369472,0.010059726745504363,0.74,3.151496129472319,3.151496129472319,0
Quinolones,7,61,7,4,15.278874536821954,0.09540435837405553,0.00910199159676522,0.77,3.151496129472319,3.151496129472319,0
Quinolones,7,62,7,4.050000000000001,15.817682883744947,0.10328551826350348,0.01066789828296051,0.73,3.151496129472319,3.151496129472319,0
Quinolones,7,63,7,4.1,16.37549226598727,0.11905269446322808,0.014173544058954735,0.7,3.151496129472319,3.151496129472319,0
Quinolones,7,64,7,4.15,16.95297275361238,0.13715261760081565,0.01881084051475557,0.64,3.151496129472319,3.151496129472319,0
Quinolones,7,65,7,4.2,17.550818046653465,0.15398003485824266,0.023709851134945628,0.55,3.151496129472319,3.151496129472319,0
Quinolones,8,1,8,1,1.9098593171027443,0.33580656537497067,0.11276604934893443,0.61,3.3738885508087666,3.3738885508087666,0
Quinolones,8,2,8,1.05,1.977210360468118,0.3900784744783418,0.15216121625135035,0.57,3.3738885508087666,3.3738885508087666,0
Quinolones,8,3,8,1.0999999999999999,2.0469365332484086,0.45044037311722046,0.20289652973398078,0.54,3.3738885508087666,3.3738885508087666,0
Quinolones,8,4,8,1.1500000000000001,2.119121594201547,0.5163825063007846,0.26665089281347987,0.48,3.3738885508087666,3.3738885508087666,0
Quinolones,8,5,8,1.2000000000000002,2.193852255831683,0.5856199137704995,0.3429506834045672,0.38,3.3738885508087666,3.3738885508087666,0
Quinolones,8,6,8,1.25,2.2712182885528214,0.653682253111067,0.42730048803236115,0.36,3.3738885508087666,3.3738885508087666,0
Quinolones,8,7,8,1.3,2.3513126285257804,0.7141985666415064,0.5100795925927821,0.36,3.3738885508087666,3.3738885508087666,0
Quinolones,8,8,8,1.35,2.4342314892980115,0.7598871501695692,0.5774284809928295,0.25,3.3738885508087666,3.3738885508087666,0
Quinolones,8,9,8,1.4,2.5200744773803887,0.7839678361156881,0.6146055680639144,0.23,3.3738885508087666,3.3738885508087666,0
Quinolones,8,10,8,1.45,2.6089447118998073,0.7815617068940315,0.6108387016831119,0.25,3.3738885508087666,3.3738885508087666,0
Quinolones,8,11,8,1.5,2.7009489484713187,0.7506653062713355,0.5634984020394379,0.26,3.3738885508087666,3.3738885508087666,0
Quinolones,8,12,8,1.55,2.7961977074386084,0.6924622503906191,0.4795039682160405,0.32,3.3738885508087666,3.3738885508087666,0
Quinolones,8,13,8,1.6,2.8948054066368654,0.6109902616219148,0.37330909979681587,0.39,3.3738885508087666,3.3738885508087666,0
Quinolones,8,14,8,1.6500000000000001,2.996890498837522,0.5123946647559608,0.2625482924703735,0.46,3.3738885508087666,3.3738885508087666,0
Quinolones,8,15,8,1.7000000000000002,3.102575614039975,0.4040710296320595,0.1632733969879127,0.6,3.3738885508087666,3.3738885508087666,0
Quinolones,8,16,8,1.75,3.2119877067812097,0.29394436128898777,0.08640328753359097,0.75,3.3738885508087666,3.3738885508087666,0
Quinolones,8,17,8,1.8,3.3252582086402898,0.19014159453124924,0.03615382597088598,0.93,3.3738885508087666,3.3738885508087666,0
