org,drug_code,drug_name,drug_class,period,month,seasonal_deviate,sem
E. coli,NIT,Nitrofurantoin,Nitrofurans,12,2,0.018323630363855384,0.007459621074015424
E. coli,NIT,Nitrofurantoin,Nitrofurans,12,3,0.02000172999425475,0.007047254715548692
E. coli,NIT,Nitrofurantoin,Nitrofurans,12,4,0.003622648794652328,0.007003073447958253
E. coli,NIT,Nitrofurantoin,Nitrofurans,12,5,0.026451501417525093,0.007261128077809864
E. coli,NIT,Nitrofurantoin,Nitrofurans,12,6,-0.0037752336614719534,0.006919651914471884
E. coli,NIT,Nitrofurantoin,Nitrofurans,12,7,-0.02079805924132658,0.006623075025262143
E. coli,NIT,Nitrofurantoin,Nitrofurans,12,8,-0.026035585233644742,0.006431175214458672
E. coli,NIT,Nitrofurantoin,Nitrofurans,12,9,-0.035888870791047536,0.006498765840200704
E. coli,NIT,Nitrofurantoin,Nitrofurans,12,10,-0.02291124131492248,0.006734172912749042
E. coli,NIT,Nitrofurantoin,Nitrofurans,12,11,-0.007065405679912941,0.00717813016864531
E. coli,NIT,Nitrofurantoin,Nitrofurans,12,12,0.014004664058618858,0.007192802711635502
E. coli,TET,Tetracycline,Tetracyclines,6,1,-0.02542179783874265,0.019515188389422053
E. coli,TET,Tetracycline,Tetracyclines,6,2,0.03769486348399146,0.020841286469529475
E. coli,TET,Tetracycline,Tetracyclines,6,3,-0.005125506965465538,0.0196530418288537
E. coli,TET,Tetracycline,Tetracyclines,6,4,-0.022935382424110674,0.019683647579123536
E. coli,TET,Tetracycline,Tetracyclines,6,5,0.021610936120551157,0.019096464519473236
E. coli,TET,Tetracycline,Tetracyclines,6,6,0.018587527928209238,0.018774300690998336
E. coli,TET,Tetracycline,Tetracyclines,6,7,-0.033297379126912205,0.018113773679983503
E. coli,TET,Tetracycline,Tetracyclines,6,8,-0.026316122919821633,0.017523128207980576
E. coli,TET,Tetracycline,Tetracyclines,6,9,0.00871527522875069,0.017811422192888324
E. coli,TET,Tetracycline,Tetracyclines,6,10,0.02134758490337161,0.017704018153871338
E. coli,TET,Tetracycline,Tetracyclines,6,11,-0.0018558045993946823,0.018588391739448967
E. coli,TET,Tetracycline,Tetracyclines,6,12,0.011170762717861346,0.018730077242336333
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,12,1,0.013409269218447166,0.026886413638096126
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,12,2,0.03481985949725445,0.029990093438285466
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,12,3,0.019979171101637556,0.027040220945527018
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,12,4,0.04702206427575345,0.028418518279295805
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,12,5,0.010341007243188944,0.026110082931655405
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,12,6,-0.021155935472295908,0.02396734553729657
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,12,7,-4.031458506781491e-5,0.023134528595623028
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,12,8,-0.012108218891942777,0.021557009242083834
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,12,9,-0.021256962424482936,0.022274956806441905
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,12,10,-0.07394870661429719,0.022671683691618368
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,12,11,0.005893993599531754,0.025552115979433253
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,12,12,-0.0010750548617264953,0.025580994688509707
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,12,1,0.04447147948386258,0.02906574320942934
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,12,2,0.02922974864020326,0.03184649525734975
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,12,3,0.0479681306373326,0.02987966778376236
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,12,4,0.07731187700581074,0.03109286347152371
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,12,5,-0.02162225381029584,0.027416343661927748
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,12,6,-0.022480965206661967,0.025202799507204898
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,12,7,-0.05241551257824871,0.02411494321302675
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,12,8,-0.04914149190717473,0.022584320481855547
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,12,9,-0.03728469831737349,0.023421585060819008
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,12,10,-0.03184817531264229,0.024538805992677805
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,12,11,0.004267421583429359,0.02653169823077414
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,12,12,0.011742903571377465,0.0268013048918622
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,12,1,0.044162477153567414,0.02987803892444896
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,12,2,0.01912123987645682,0.032326699115869106
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,12,3,-0.048813675606914006,0.03012695671499206
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,12,4,0.009802959469522152,0.032266969379596264
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,12,5,-0.036781769561378824,0.028869895661382053
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,12,6,0.0026912331583551605,0.02716263574120689
