year,month,drug_class,mean_daily_claims_per_10000ppl
2013,4,Nitrofurans,0.5277812409092798
2013,4,Penicillins,5.562897394339858
2013,4,Quinolones,1.7853135519261938
2013,4,Tetracyclines,1.1436645472301874
2013,5,Macrolides,4.217638503303201
2013,5,Nitrofurans,0.5769221652451321
2013,5,Penicillins,4.917498121588033
2013,5,Quinolones,1.8504898977152355
2013,5,Tetracyclines,1.1498267666654371
2013,6,Macrolides,3.7133120954742815
2013,6,Nitrofurans,0.5665637906099507
2013,6,Penicillins,4.590491999357232
2013,6,Quinolones,1.8819194916166782
2013,6,Tetracyclines,1.1571485606463465
2013,7,Macrolides,3.5411056682412827
2013,7,Nitrofurans,0.6864592551629057
2013,7,Penicillins,4.217964094660651
2013,7,Quinolones,2.1009813567107116
2013,7,Tetracyclines,1.1825020735789913
