year,month,drug_class,claims_per_1000ppl
2011,12,Tetracyclines,3.238491788110109
2012,1,Macrolides,17.256041852615393
2012,1,Nitrofurans,1.377007917137298
2012,1,Penicillins,17.9511280670021
2012,1,Quinolones,5.852941873415322
2012,1,Tetracyclines,3.3411530532451836
2012,2,Macrolides,15.603862968050601
2012,2,Nitrofurans,1.363216145493291
2012,2,Penicillins,17.512887876777796
2012,2,Quinolones,5.5390449130100965
2012,2,Tetracyclines,3.1703915720859297
2012,3,Macrolides,14.675008616997943
2012,3,Nitrofurans,1.571949321607253
2012,3,Penicillins,17.437670381550223
2012,3,Quinolones,5.666328949979632
2012,3,Tetracyclines,3.2379022571312186
2012,4,Macrolides,13.05987667845629
2012,4,Nitrofurans,1.4789195279977465
2012,4,Penicillins,15.282168455976713
2012,4,Quinolones,5.120139388817594
2012,4,Tetracyclines,3.119555124312707
2012,5,Macrolides,13.122726789598255
2012,5,Nitrofurans,1.5891409565436057
2012,5,Penicillins,15.188869273065228
2012,5,Quinolones,5.340343181859424
2012,5,Tetracyclines,3.39085868052045
2012,6,Macrolides,11.633361235432384
2012,6,Nitrofurans,1.6404361020335707
2012,6,Penicillins,13.582188958543354
2012,6,Quinolones,5.898313693883739
2012,6,Tetracyclines,3.2160840483786117
2012,7,Macrolides,11.236966786990227
2012,7,Nitrofurans,1.9280018432545096
2012,7,Penicillins,12.614110960743446
2012,7,Quinolones,6.252764219675682
2012,7,Tetracyclines,3.2362888083200696
2012,8,Macrolides,12.067416634263418
2012,8,Nitrofurans,1.9924645687239375
2012,8,Penicillins,13.177618964615654
2012,8,Quinolones,6.4171840012871915
2012,8,Tetracyclines,3.5049141202182863
2012,9,Macrolides,11.542744224707118
2012,9,Nitrofurans,1.7695737862605796
2012,9,Penicillins,12.319056506124241
2012,9,Quinolones,5.144049056662955
2012,9,Tetracyclines,2.92750759322282
2012,10,Macrolides,13.890769342928856
2012,10,Nitrofurans,1.994438484851641
2012,10,Penicillins,15.174396200672797
2012,10,Quinolones,5.673474488892592
2012,10,Tetracyclines,3.3301394544716043
2012,11,Macrolides,14.540567276343287
2012,11,Nitrofurans,1.7686923329906439
2012,11,Penicillins,16.40248497388395
2012,11,Quinolones,5.290539438213595
2012,11,Tetracyclines,3.3587027172604174
2012,12,Macrolides,17.31031755144742
2012,12,Nitrofurans,1.6356004643982598
2012,12,Penicillins,19.387351526517907
2012,12,Quinolones,5.8560110230795726
2012,12,Tetracyclines,3.2507878184764167
2013,1,Macrolides,17.46972547212566
2013,1,Nitrofurans,1.8836921378639844
2013,1,Penicillins,19.50026457772635
2013,1,Quinolones,6.246059817352754
2013,1,Tetracyclines,3.574964111107454
2013,2,Macrolides,12.558270374537855
2013,2,Nitrofurans,1.6401101109146439
2013,2,Penicillins,15.476812409580454
2013,2,Quinolones,4.890190483845041
2013,2,Tetracyclines,2.858262337244816
2013,3,Macrolides,13.760868800827813
2013,3,Nitrofurans,1.8686049256827693
2013,3,Penicillins,17.942625791771107
2013,3,Quinolones,5.339588806453719
2013,3,Tetracyclines,3.3680096845975718
2013,4,Macrolides,13.17042762747787
2013,4,Nitrofurans,1.5833437227278395
2013,4,Penicillins,16.688692183019572
2013,4,Quinolones,5.355940655778582
2013,4,Tetracyclines,3.4309936416905624
2013,5,Macrolides,13.074679360239921
2013,5,Nitrofurans,1.7884587122599094
2013,5,Penicillins,15.244244176922903
2013,5,Quinolones,5.73651868291723
2013,5,Tetracyclines,3.5644629766628557
2013,6,Macrolides,11.139936286422845
2013,6,Nitrofurans,1.699691371829852
2013,6,Penicillins,13.771475998071695
2013,6,Quinolones,5.645758474850034
2013,6,Tetracyclines,3.4714456819390396
2013,7,Macrolides,10.977427571547976
2013,7,Nitrofurans,2.1280236910050077
2013,7,Penicillins,13.075688693448019
2013,7,Quinolones,6.513042205803205
2013,7,Tetracyclines,3.665756428094873
2013,8,Macrolides,10.689308176100628
2013,8,Nitrofurans,1.9547169811320753
2013,8,Penicillins,12.128301886792453
2013,8,Quinolones,5.813836477987421
2013,8,Tetracyclines,3.4238993710691825
2013,9,Macrolides,9.773109508820554
2013,9,Nitrofurans,1.674558122941689
2013,9,Penicillins,10.840943674174673
2013,9,Quinolones,4.43393868204995
2013,9,Tetracyclines,2.783649517411764
2013,10,Macrolides,11.473992684577171
2013,10,Nitrofurans,1.9143387584971359
2013,10,Penicillins,13.491874294162832
2013,10,Quinolones,4.972464825530296
2013,10,Tetracyclines,3.149629051716042
2013,11,Macrolides,11.369902265071381
2013,11,Nitrofurans,1.733657270404785
2013,11,Penicillins,14.403802488279753
2013,11,Quinolones,4.683282487412925
2013,11,Tetracyclines,3.0435316524884
2013,12,Macrolides,12.318800705298592
2013,12,Nitrofurans,1.748891690730874
2013,12,Penicillins,15.577337617440111
2013,12,Quinolones,5.18207852547616
2013,12,Tetracyclines,2.7752590441146565
2014,1,Macrolides,12.126807808108714
2014,1,Nitrofurans,1.6366299737089471
2014,1,Penicillins,14.553123672922124
2014,1,Quinolones,4.9170471950643435
2014,1,Tetracyclines,3.0537702133344786
2014,2,Macrolides,10.746257411009028
2014,2,Nitrofurans,1.4621879606127535
2014,2,Penicillins,13.364539234199658
2014,2,Quinolones,4.478392111248723
2014,2,Tetracyclines,2.6253455331452815
2014,3,Macrolides,12.386809378281528
2014,3,Nitrofurans,1.6669570499569133
2014,3,Penicillins,16.323465010383167
2014,3,Quinolones,4.748944025089116
2014,3,Tetracyclines,2.877149032552752
2014,4,Macrolides,12.21235671854816
2014,4,Nitrofurans,1.772987519008809
2014,4,Penicillins,15.795706987533023
2014,4,Quinolones,5.01528880541754
2014,4,Tetracyclines,2.9876825254443564
2014,5,Macrolides,11.27974561168509
2014,5,Nitrofurans,1.7844455056899584
2014,5,Penicillins,14.473576928004846
2014,5,Quinolones,4.941003808836034
2014,5,Tetracyclines,3.0330914470082586
2014,6,Macrolides,10.562611744491141
2014,6,Nitrofurans,1.7159309912461977
2014,6,Penicillins,12.701140084055076
2014,6,Quinolones,5.108319595049574
2014,6,Tetracyclines,2.886200571203009
2014,7,Macrolides,9.619063741370555
2014,7,Nitrofurans,1.8273438351494689
2014,7,Penicillins,11.142623258747713
2014,7,Quinolones,5.359126399784801
2014,7,Tetracyclines,3.098136248426003
2014,8,Macrolides,9.159416155565065
2014,8,Nitrofurans,1.9207911377359388
2014,8,Penicillins,10.683212095278849
2014,8,Quinolones,5.030190652783721
2014,8,Tetracyclines,3.109399515047782
2014,9,Macrolides,9.716755209336894
2014,9,Nitrofurans,1.8557259122647656
2014,9,Penicillins,11.581656527842771
2014,9,Quinolones,4.88590382339178
2014,9,Tetracyclines,3.0783487938928498
2014,10,Macrolides,11.070640579128753
2014,10,Nitrofurans,1.9875640487956092
2014,10,Penicillins,13.199522255246986
2014,10,Quinolones,5.1626520304152
2014,10,Tetracyclines,3.193322514177349
2014,11,Macrolides,10.657084748224955
2014,11,Nitrofurans,1.6887904265557754
2014,11,Penicillins,13.05180773211789
2014,11,Quinolones,4.433074869708911
2014,11,Tetracyclines,2.7715229984201635
2014,12,Macrolides,13.29213363073516
2014,12,Nitrofurans,1.8235188456807387
2014,12,Penicillins,16.598114181383284
2014,12,Quinolones,5.047645682557656
2014,12,Tetracyclines,3.026313695263171
2015,1,Macrolides,11.692585541596653
2015,1,Nitrofurans,1.7199085818550808
2015,1,Penicillins,15.355827906738597
2015,1,Quinolones,4.724512071942915
2015,1,Tetracyclines,2.7206672966016097
2015,2,Macrolides,8.948509167594166
2015,2,Nitrofurans,1.3965204147384453
2015,2,Penicillins,11.106554976275554
2015,2,Quinolones,3.807626969714721
2015,2,Tetracyclines,2.343155058285982
2015,3,Macrolides,11.848573320771964
2015,3,Nitrofurans,1.8538901377708545
2015,3,Penicillins,15.805870885296669
2015,3,Quinolones,4.810786609083362
2015,3,Tetracyclines,2.8333037954611173
2015,4,Macrolides,11.437168708686535
2015,4,Nitrofurans,1.5068458164712875
2015,4,Penicillins,15.941453583808721
2015,4,Quinolones,4.631983673128226
2015,4,Tetracyclines,2.874383853299621
2015,5,Macrolides,10.265588725188175
2015,5,Nitrofurans,1.5367928351719404
2015,5,Penicillins,13.10490719504853
2015,5,Quinolones,4.43702077715801
2015,5,Tetracyclines,2.804178389787824
2015,6,Macrolides,10.316399131004967
2015,6,Nitrofurans,1.8504647163281926
2015,6,Penicillins,12.348876770250687
2015,6,Quinolones,4.800007467196838
2015,6,Tetracyclines,2.9822117370333294
2015,7,Macrolides,9.304866241082543
2015,7,Nitrofurans,2.039615426994662
2015,7,Penicillins,10.78886229313728
2015,7,Quinolones,4.97009736233182
2015,7,Tetracyclines,2.982058417399092
2015,8,Macrolides,9.367528482513624
2015,8,Nitrofurans,1.9335198288629258
2015,8,Penicillins,10.081406266636982
2015,8,Quinolones,5.144759895072066
2015,8,Tetracyclines,2.8966498562564733
2015,9,Macrolides,8.748662106193867
2015,9,Nitrofurans,1.928893852668807
2015,9,Penicillins,10.498394527432641
2015,9,Quinolones,4.5092838196286475
2015,9,Tetracyclines,2.743263995532598
